district_id,province_id,name
1001,10,Phra Nakhon
1002,10,Dusit
1003,10,Nong Chok
1004,10,Bang Rak
1005,10,Bang Khen
1006,10,Bang Kapi
1007,10,Pathum Wan
1008,10,Pom Prap Sattruphai
1009,10,Phra Khanong
1010,10,Min Buri
1011,10,Lat Krabang
1012,10,Yannawa
1013,10,Samphanthawong
1014,10,Phaya Thai
1015,10,Thon Buri
1016,10,Bangkok Yai
1017,10,Huai Khwang
1018,10,Khlong San
1019,10,Taling Chan
1020,10,Bangkok Noi
1021,10,Bang Khun Thian
1022,10,Phasi Charoen
1023,10,Nong Khaem
1024,10,Rat Burana
1025,10,Bang Phlat
1026,10,Din Daeng
1027,10,Bung Kum
1028,10,Sa Thon
1029,10,Bang Su
1030,10,Chatuchak
1031,10,Bang Kho Laem
1032,10,Prawet
1033,10,Khlong Toei
1034,10,Suan Luang
1035,10,Chom Thong
1036,10,Don Mueang
1037,10,Rat Thewi
1038,10,Lat Phrao
1039,10,Watthana
1040,10,Bang Khae
1041,10,Lak Si
1042,10,Sai Mai
1043,10,Khanna Yao
1044,10,Saphan Sung
1045,10,Wang Thong Lang
1046,10,Khlong Sam Wa
1047,10,Bang Na
1048,10,Thawi Watthana
1049,10,Thung Khu
1050,10,Bang Bon
1101,11,Mueang Samut Prakan
1102,11,Bang Bo
1103,11,Bang Phli
1104,11,Phra Pradaeng
1105,11,Phra Samut Chedi
1106,11,Bang Sao Thong
1201,12,Mueang Nonthaburi
1202,12,Bang Kruai
1203,12,Bang Yai
1204,12,Bang Bua Thong
1205,12,Sai Noi
1206,12,Pak Kret
1301,13,Mueang Pathum Thani
1302,13,khlong Luang
1303,13,Thanyaburi
1304,13,Nong Suea
1305,13,Lat Lum Kaeo
1306,13,Lam Luk Ka
1307,13,Sam Khok
1401,14,Phra Nakhon Si Ayutthaya
1402,14,Tha Ruea
1403,14,Nakhon Luang
1404,14,Bang Sai
1405,14,Bang Ban
1406,14,Bang Pa-in
1407,14,Bang Pahan
1408,14,Phak Hai
1409,14,Phachi
1410,14,Lat Bua Luang
1411,14,Wang Noi
1412,14,Sena
1413,14,Bang Sai
1414,14,Uthai
1415,14,Maha Rat
1416,14,Ban Phraek
1501,15,Mueang Ang Thong
1502,15,Chaiyo
1503,15,Pa Mok
1504,15,Pho Thong
1505,15,Sawaeng Ha
1506,15,Wiset Chai Chan
1507,15,Samko
1601,16,Mueang Lop Buri
1602,16,Phatthana Nikhom
1603,16,Khok Samrong
1604,16,Chai Badan
1605,16,Tha Wung
1606,16,Ban Mi
1607,16,Tha Luang
1608,16,Sa Bot
1609,16,Khok Charoen
1610,16,Lam Sonthi
1611,16,Nong Muang
1701,17,Mueang Sing Buri
1702,17,Bang Rachan
1703,17,Khai Bang Rachan
1704,17,Phrom Buri
1705,17,Tha Chang
1706,17,In Buri
1801,18,Mueang Chai Nat
1802,18,Manorom
1803,18,Wat Sing
1804,18,Sapphaya
1805,18,Sankhaburi
1806,18,Hankha
1807,18,Nong Mamong
1808,18,Noen Kham
1901,19,Mueang Saraburi
1902,19,Kaeng Khoi
1903,19,Nong Khae
1904,19,Wihan Daeng
1905,19,Nong Saeng
1906,19,Ban Mo
1907,19,Don Phut
1908,19,Nong Don
1909,19,Phra Phutthabat
1910,19,Sao Hai
1911,19,Muak Lek
1912,19,Wang Muang
1913,19,Chaloem Phra Kiet
2001,20,Mueang Chon Buri
2002,20,Ban Bueng
2003,20,Nong Yai
2004,20,Bang Lamung
2005,20,Phan Thong
2006,20,Phanat Nikhom
2007,20,Si Racha
2008,20,Ko Sichang
2009,20,Sattahip
2010,20,Bo Thong
2011,20,Ko Chan
2101,21,Mueang Rayong
2102,21,Ban Chang
2103,21,Klaeng
2104,21,Wang Chan
2105,21,Ban Khai
2106,21,Pluak Daeng
2107,21,Khao Chamao
2108,21,Nikhom Phatthana
2201,22,Mueang Chanthaburi
2202,22,Khlung
2203,22,Tha Mai
2204,22,Pong Nam Ron
2205,22,Makham
2206,22,Laem Sing
2207,22,Soi Dao
2208,22,Kaeng Hang Maeo
2209,22,Na Yai Am
2210,22,Khao Khitchakut
2301,23,Mueang Trat
2302,23,Khlong Yai
2303,23,Khao Saming
2304,23,Bo Rai
2305,23,Laem Ngop
2306,23,Ko Kut
2307,23,Ko Chang
2401,24,Mueang Chachoengsao
2402,24,Bang Khla
2403,24,Bang Nam Priao
2404,24,Bang Pakong
2405,24,Ban Pho
2406,24,Phanom Sarakham
2407,24,Ratchasan
2408,24,Sanam Chai Khet
2409,24,Pleang Yao
2410,24,Tha Takiap
2411,24,Khlong Khuean
2501,25,Mueang Prachin Buri
2502,25,Kabin Buri
2503,25,Na Di
2506,25,Ban Sang
2507,25,Prachantakham
2508,25,Si Maha Phot
2509,25,Si Mahosot
2601,26,Mueang Nakhon Nayok
2602,26,Pak Phli
2603,26,Ban Na
2604,26,Ongkharak
2701,27,Mueang Sa Kaeo
2702,27,Khlong Hat
2703,27,Ta Phraya
2704,27,Wang Nam Yen
2705,27,Watthana Nakhon
2706,27,Aranyaprathet
2707,27,Khao Chakan
2708,27,Khok Sung
2709,27,Wang Sombun
3001,30,Mueang Nakhon Ratchasima
3002,30,Khon Buri
3003,30,Soeng Sang
3004,30,Khong
3005,30,Ban Lueam
3006,30,Chakkarat
3007,30,Chok Chai
3008,30,Dan Khun Thot
3009,30,Non Thai
3010,30,Non Sung
3011,30,Kham Sakaesaeng
3012,30,Bua Yai
3013,30,Prathai
3014,30,Pak Thong Chai
3015,30,Phimai
3016,30,Huai Thalaeng
3017,30,Chum Phuang
3018,30,Sung Noen
3019,30,Kham Thale So
3020,30,Si Khio
3021,30,Pak Chong
3022,30,Nong Bunmak
3023,30,Kaeng Sanam Nang
3024,30,Non Daeng
3025,30,Wang Nam Khiao
3026,30,Thepharak
3027,30,Mueang Yang
3028,30,Phra Thong Kham
3029,30,Lamtaman Chai
3030,30,Bua Lai
3031,30,Sida
3032,30,Chaloem Phra Kiet
3101,31,Mueang Buri Ram
3102,31,Khu Mueang
3103,31,Krasang
3104,31,Nang Rong
3105,31,Nong Ki
3106,31,Lahan Sai
3107,31,Prakhon Chai
3108,31,Ban Kruat
3109,31,Phutthaisong
3110,31,Lam Plai Mat
3111,31,Satuek
3112,31,Pakham
3113,31,Na Pho
